Iridium, choker, Starlet, Tall, Slim, Diamond-Shaped Face, Olive Skin, Chestnut Hair, blue Eyes, Short Nose, Pouty Lips, Sharp Chin, Long Hair, Thick Hair, Straight Bob with Layers, augmented breasts, Threader earrings, red, velvet lipstick, Lavender Lace Bra and Panty Set 
Rhenium, bangle bracelet, Charmer, Short, Athletic, Triangular Face, Fair Skin, Strawberry Blonde Hair, pink Eyes, Wide Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Side Bangs, augmented breasts, Stud earrings, silver, stain lipstick, Green Sequin Slip Dress with Thigh-High Slits
Palladium, collar necklace, Goddess, Tall, Thin, Oval Face, Dark Skin, Platinum Blonde Hair, green Eyes, Narrow Nose, Full Lips, Round Chin, Long Hair, Fine Hair, Four-Strand Braid, large breasts, Faux gauge earrings, berry, gloss lipstick, Lavender Lace Bra and Panty Set 
Osmium, chain necklace, Heiress, Tall, Slim, Triangular Face, Olive Skin, Dark Brown Hair, Blue Eyes, Wide Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Braided Headband, saggy breasts, Clip-on earrings, shimmer, cream lipstick, Brown Strappy Bodysuit
Osmium, multi-strand necklace, Female Warrior, Short, Lean, Oval Face, Olive Skin, Brunette Hair, grey-blue Eyes, Wide Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Voluminous Waves, small breasts, Hoop earrings, black, stain lipstick, Purple Velvet Robe with Fur Trim 
Germanium, bangle bracelet, Starlet, Short, Slim, Heart-Shaped Face, Tan Skin, Gray Hair, black Eyes, Straight Nose, Thick Lips, Receding Chin, Long Hair, Thick Hair, Long Straight Hair, natural breasts, Cuff earrings, burgundy, stain lipstick, Pink Floral Corset
Rhenium, torc necklace, Vixen, Short, Athletic, Heart-Shaped Face, Olive Skin, Golden Blonde Hair, Amber Eyes, Narrow Nose, Thin Lips, Sharp Chin, Long Hair, Thick Hair, Fishtail Crown Braid, round breasts, Faux gauge earrings, terracotta, gloss lipstick, Green Satin Robe with Lace Trim
Cadmium, collar necklace, Temptress, Short, Slim, Diamond-Shaped Face, Fair Skin, Honey Blonde Hair, hazel Eyes, Wide Nose, Full Lips, Receding Chin, Long Hair, Fine Hair, Twisted Bun, small breasts, Faux gauge earrings, coral, satin lipstick, Plum Satin and Lace Bustier 
Cadmium, tennis bracelet, Countess, Average Height, Wide Hips, Heart-Shaped Face, Olive Skin, Black Hair, black Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Tousled Waves, large breasts, Dangle earrings, silver, satin lipstick, Yellow Mesh Bralette and High-Waisted Panty Set
Beryllium, collar necklace, Madame, Average Height, Fit, Square Face, Dark Skin, Auburn Hair, jade Eyes, Long Nose, Pouty Lips, Round Chin, Long Hair, Thick Hair, Viking Braid, soft breasts, Huggie earrings, coral, stain lipstick, Blue Strappy Bodysuit with Cutouts
Ruthenium, chain bracelet, Duchess, Short, Toned, Square Face, Dark Skin, Gray Hair, jade Eyes, Short Nose, Thick Lips, Prominent Chin, Long Hair, Thick Hair, Voluminous Waves, small breasts, Stud earrings, brown, matte lipstick, Pink Lace Garter Slip with Matching Thong
Osmium, brooch pin, Superwoman, Tall, Athletic, Triangular Face, Dark Skin, Black Hair, grey Eyes, Straight Nose, Thick Lips, Receding Chin, Long Hair, Coarse Hair, Formal Braided Updo, soft breasts, Drop earrings, gloss, cream lipstick, Olive Green Mesh Garter Belt with Stockings
Palladium, tennis bracelet, Siren, Tall, Thin, Triangular Face, Olive Skin, Dark Brown Hair, hazel Eyes, Wide Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Low Messy Bun, full breasts, Drop earrings, cream, sheer lipstick, White Sheer Teddy with Lace Trim
Rhenium, multi-strand necklace, Maven, Short, in shape, Triangular Face, Tan Skin, Silver Hair, blue Eyes, [[Curved Nose]], Full Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Curled Bob, full breasts, Drop earrings, fuchsia, gloss lipstick, Fuchsia Mesh Halter Bra and Panty Set
Gold, brooch pin, Songstress, Short, Skinny, Triangular Face, Dark Skin, Gray Hair, ice blue Eyes, Long Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Waterfall Braid, full breasts, Drop earrings, burgundy, stain lipstick, Green Satin Robe with Lace Trim
Osmium, ankle bracelet, Siren, Average Height, Toned, Oval Face, Fair Skin, Honey Blonde Hair, Hazel Eyes, Narrow Nose, Thick Lips, Receding Chin, Long Hair, Thick Hair, Four-Strand Braid, firm breasts, Threader earrings, golden, satin lipstick, Green Satin and Lace Garter Belt with Matching Thong
Cadmium, toe ring, Chanteuse, Tall, Toned, Triangular Face, Tan Skin, Platinum Blonde Hair, dark brown Eyes, [[Curved Nose]], Thin Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Wavy Layered Bob, small breasts, Cuff earrings, golden, satin lipstick, Pink Lace Garter Slip with Matching Thong
Gold, brooch pin, Phenom, Tall, Firm, Heart-Shaped Face, Fair Skin, Chestnut Hair, Brown Eyes, Short Nose, Pouty Lips, Sharp Chin, Long Hair, Straight Hair, Fishtail Crown Braid, asymmetrical breasts, Stud earrings, rust, matte lipstick, Pink Lace Chemise with Ruffle Details
Cadmium, tennis bracelet, Duchess, Tall, Skinny, Triangular Face, Dark Skin, White Hair, light blue Eyes, Long Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Wavy Layered Bob, natural breasts, Clip-on earrings, terracotta, matte lipstick, Brown Strappy Bodysuit
Palladium, chain bracelet, Miss, Average Height, Fit, Round Face, Dark Skin, Chestnut Hair, ruby Eyes, Long Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Messy Top Knot, perky breasts, Cuff earrings, coral, sheer lipstick, Silver Silk Bra and Panty Set with Garter Belt
Iridium, toe ring, Queen, Tall, Athletic, Heart-Shaped Face, Dark Skin, Auburn Hair, yellow Eyes, Straight Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Stacked Bob, firm breasts, Cuff earrings, coral, satin lipstick, Red Mesh Chemise with Strappy Back Detail
Germanium, beaded necklace, Seductress, Tall, Athletic, Oval Face, Fair Skin, Honey Blonde Hair, purple Eyes, Wide Nose, Full Lips, Sharp Chin, Long Hair, Thick Hair, Donut Bun, natural breasts, Stud earrings, magenta, gloss lipstick, Pink Lace Garter Slip with Matching Thong
Beryllium, chain bracelet, Starlet, Short, in shape, Oval Face, Olive Skin, Strawberry Blonde Hair, jade Eyes, Straight Nose, Thick Lips, Round Chin, Long Hair, Thick Hair, High Ponytail, small breasts, Faux gauge earrings, gloss, sheer lipstick, White Satin and Lace Bra and Panty Set
Cadmium, ankle strap, Female Viking, Average Height, Narrow Hips, Square Face, Dark Skin, Platinum Blonde Hair, Blue Eyes, Straight Nose, Full Lips, Sharp Chin, Long Hair, Thick Hair, Messy Bun, soft breasts, Hoop earrings, beige, velvet lipstick, White Sheer Teddy with Lace Trim
Radium, brooch pin, Femme fatale, Short, Narrow Hips, Heart-Shaped Face, Tan Skin, Silver Hair, amethyst Eyes, [[Curved Nose]], Pouty Lips, Prominent Chin, Long Hair, Straight Hair, Stacked Bob, firm breasts, Huggie earrings, fuchsia, matte lipstick, Yellow Mesh Bralette and High-Waisted Panty Set
Rhodium, bib necklace, Maven, Average Height, Slim, Diamond-Shaped Face, Olive Skin, Brunette Hair, dark brown Eyes, Long Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Triple Braided Crown, soft breasts, Faux gauge earrings, pink, satin lipstick, Yellow Lace Garter Belt 
Gold, ankle bracelet, Chanteuse, Tall, Wide Hips, Square Face, Tan Skin, Black Hair, blue Eyes, Straight Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Viking Braid, natural breasts, Threader earrings, burgundy, stain lipstick, Cream Sequin Bra and Pant Set
Osmium, chain bracelet, Female Warrior, Tall, Toned, Heart-Shaped Face, Olive Skin, Golden Blonde Hair, aquamarine Eyes, Long Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, Formal Braided Updo, augmented breasts, Drop earrings, rose, velvet lipstick, Purple Velvet Bra and Panty Set with Lace Trim
Tantalum, tassel necklace, Vixen, Short, Athletic, Triangular Face, Dark Skin, Dark Brown Hair, hazel Eyes, Straight Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Long Curly Hair, asymmetrical breasts, Huggie earrings, golden, satin lipstick, Crimson Velvet Cami and Short Set 
Palladium, charm bracelet, Heiress, Short, Athletic, Oval Face, Olive Skin, White Hair, Sapphire Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Straight Bob, full breasts, Drop earrings, magenta, satin lipstick, Black Mesh Bodysuit with Embroidered Flowers
Gallium, collar necklace, Enigma, Tall, in shape, Triangular Face, Fair Skin, Silver Hair, ruby Eyes, Wide Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Four-Strand Braid, large breasts, Drop earrings, silver, gloss lipstick, Green Silk Bralette and Panty Set
Beryllium, anklet, Madam, Average Height, in shape, Square Face, Olive Skin, Red Hair, amber Eyes, [[Curved Nose]], Thick Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Top Knot, small breasts, Hoop earrings, fuchsia, stain lipstick, Purple Velvet Slip with Lace Trim
Germanium, ankle bracelet, Madame, Short, Skinny, Round Face, Olive Skin, Light Brown Hair, turquoise Eyes, Straight Nose, Pouty Lips, Receding Chin, Long Hair, Fine Hair, Waterfall Braid, asymmetrical breasts, Stud earrings, burgundy, cream lipstick, Mint Green Mesh Teddy 
Osmium, cuff bracelet, Baroness, Short, Athletic, Oval Face, Dark Skin, Brunette Hair, amber Eyes, Straight Nose, Pouty Lips, Prominent Chin, Long Hair, Coarse Hair, Herringbone Braid, saggy breasts, Stud earrings, burgundy, velvet lipstick, Yellow Lace Halter Bralette and Thong Set
Gallium, ankle bracelet, Vixen, Short, Wide Hips, Oval Face, Dark Skin, Auburn Hair, turquoise Eyes, [[Curved Nose]], Thick Lips, Prominent Chin, Long Hair, Wavy Hair, Swept Bangs, asymmetrical breasts, Dangle earrings, violet, matte lipstick, Black Cutout Bodysuit with Zipper
Palladium, choker, Woman, Average Height, Athletic, Diamond-Shaped Face, Dark Skin, Honey Blonde Hair, dark brown Eyes, Straight Nose, Pouty Lips, Round Chin, Long Hair, Curly Hair, Straight Bob, small breasts, Threader earrings, coral, matte lipstick, Lavender Lace Bra and Panty Set 
Silver, cocktail brooch, Diva, Short, Firm, Round Face, Olive Skin, Black Hair, Hazel Eyes with Green Flecks, Short Nose, Thick Lips, Prominent Chin, Long Hair, Coarse Hair, Stacked Bob, saggy breasts, Faux gauge earrings, gloss, gloss lipstick, Blue Strappy Bodysuit with Cutouts
Cadmium, torc necklace, Charmer, Short, Thin, Square Face, Fair Skin, Platinum Blonde Hair, jade Eyes, Narrow Nose, Thin Lips, Round Chin, Long Hair, Wavy Hair, Long Curly Hair, augmented breasts, Stud earrings, green, gloss lipstick, Crimson Velvet Cami and Short Set 
Osmium, toggle bracelet, Vixen, Average Height, Fit, Square Face, Dark Skin, Chestnut Hair, teal Eyes, Short Nose, Thick Lips, Round Chin, Long Hair, Straight Hair, Fringed Bangs, saggy breasts, Faux gauge earrings, gloss, gloss lipstick, Blue Sheer Babydoll with Satin Trim
Palladium, locket necklace, Chanteuse, Tall, Skinny, Heart-Shaped Face, Dark Skin, Black Hair, Hazel Eyes, Short Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Bob with Bangs, full breasts, Dangle earrings, gloss, gloss lipstick, Brown Strappy Bodysuit
Tantalum, chain bracelet, Madam, Average Height, Thin, Triangular Face, Fair Skin, Light Brown Hair, Amber Eyes, Short Nose, Pouty Lips, Prominent Chin, Long Hair, Straight Hair, High Bun, round breasts, Huggie earrings, teal, sheer lipstick, Plum Satin and Lace Bustier 
Silver, charm bracelet, Vixen, Average Height, Wide Hips, Square Face, Fair Skin, Dark Brown Hair, light blue Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Messy Beach Waves, large breasts, Hoop earrings, burgundy, matte lipstick, Blue Strappy Bodysuit with Cutouts
Ruthenium, toe ring, Maven, Average Height, Lean, Diamond-Shaped Face, Tan Skin, Honey Blonde Hair, turquoise Eyes, [[Curved Nose]], Thick Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Viking Braid, large breasts, Stud earrings, peach, metallic lipstick, Red Satin Babydoll
Rhenium, bib necklace, Heiress, Average Height, Skinny, Oval Face, Olive Skin, Auburn Hair, jade Eyes, Wide Nose, Thick Lips, Receding Chin, Long Hair, Fine Hair, Wavy Layered Bob, saggy breasts, Stud earrings, berry, cream lipstick, Red Satin Kimono with Lace Sleeve Detail
Iridium, tennis bracelet, Sensation, Tall, Thin, Oval Face, Fair Skin, Silver Hair, gold Eyes, [[Curved Nose]], Thick Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Blunt Cut Bangs, soft breasts, Faux gauge earrings, brown, cream lipstick, Turquoise Sheer Chemise with Cutouts
Radium, flower brooch, Artist, Short, Wide Hips, Oval Face, Dark Skin, Blonde Hair, aquamarine Eyes, Short Nose, Full Lips, Round Chin, Long Hair, Wavy Hair, Fauxhawk, large breasts, Hoop earrings, beige, cream lipstick, Silver Sequin Bralette
Gallium, locket necklace, Femme fatale, Average Height, Fit, Triangular Face, Tan Skin, Blonde Hair, Amber Eyes, [[Curved Nose]], Full Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Straight Bob with Layers, small breasts, Hoop earrings, silver, sheer lipstick, Teal Velvet Chemise with Ruffles 
Rhenium, bracelet, Chanteuse, Short, Fit, Diamond-Shaped Face, Fair Skin, Black Hair, black Eyes, Wide Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Twisted Bun, perky breasts, Threader earrings, terracotta, satin lipstick, Green Silk Bralette and Panty Set
Silver, cocktail brooch, Escort, Short, Lean, Oval Face, Tan Skin, Gray Hair, Hazel Eyes with Green Flecks, Wide Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Middle Part Bangs, soft breasts, Clip-on earrings, rust, velvet lipstick, Charcoal Sheer Bra and Panty Set
Ruthenium, tassel necklace, Charmer, Average Height, Narrow Hips, Oval Face, Tan Skin, Chestnut Hair, Brown Eyes, Narrow Nose, Pouty Lips, Round Chin, Long Hair, Coarse Hair, Chignon, augmented breasts, Hoop earrings, peach, velvet lipstick, Red Lace Bra and Panty Set with Garter Belt
Platinum, chain necklace, Escort, Average Height, Toned, Diamond-Shaped Face, Tan Skin, Black Hair, Amber Eyes, Short Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, French Roll, natural breasts, Stud earrings, lavender, cream lipstick, Pink Lace Chemise with Ruffle Details
Gallium, chain bracelet, Artist, Tall, Fit, Triangular Face, Fair Skin, Blonde Hair, ice blue Eyes, Wide Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Messy Top Knot, small breasts, Dangle earrings, light pink, satin lipstick, Ivory Lace Teddy
Platinum, chain necklace, Babe, Average Height, in shape, Diamond-Shaped Face, Olive Skin, Chestnut Hair, jade Eyes, [[Curved Nose]], Full Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Long Curled Updo, firm breasts, Drop earrings, lavender, gloss lipstick, Grey Faux Leather Corset 
Indium, chain necklace, Diva, Average Height, Narrow Hips, Round Face, Tan Skin, Black Hair, Blue Eyes, Straight Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Formal Braided Updo, soft breasts, Cuff earrings, hot pink, satin lipstick, Green Satin and Lace Garter Belt with Matching Thong
Indium, tassel necklace, Goddess, Tall, Firm, Oval Face, Fair Skin, Silver Hair, amethyst Eyes, Narrow Nose, Thin Lips, Round Chin, Long Hair, Wavy Hair, Bob with Bangs, small breasts, Huggie earrings, hot pink, cream lipstick, Green Satin Robe with Lace Trim
Platinum, ankle bracelet, Starlet, Average Height, Athletic, Oval Face, Dark Skin, Blonde Hair, Hazel Eyes with Green Flecks, Narrow Nose, Thin Lips, Prominent Chin, Long Hair, Thick Hair, Fishtail Braid, small breasts, Clip-on earrings, lavender, matte lipstick, Lavender Lace Bra and Panty Set 
Germanium, tennis necklace, Seductress, Short, Athletic, Round Face, Tan Skin, Blonde Hair, Blue Eyes with Green Flecks, Narrow Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Herringbone Braid, full breasts, Cuff earrings, silver, metallic lipstick, Red Satin Babydoll
Osmium, choker, Empress, Short, Skinny, Diamond-Shaped Face, Fair Skin, White Hair, Hazel Eyes, Long Nose, Full Lips, Receding Chin, Long Hair, Straight Hair, Top Knot, firm breasts, Clip-on earrings, golden, cream lipstick, Purple Velvet Bra and Panty Set with Lace Trim
Ruthenium, pendant, Empress, Average Height, in shape, Diamond-Shaped Face, Olive Skin, Auburn Hair, Amber Eyes, Long Nose, Full Lips, Prominent Chin, Long Hair, Fine Hair, Low Updo, augmented breasts, Drop earrings, teal, cream lipstick, Black Lace Bustier
Rhodium, bracelet, Baroness, Average Height, Fit, Triangular Face, Olive Skin, Blonde Hair, jade Eyes, Long Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Fringed Bangs, large breasts, Threader earrings, soft pink, gloss lipstick, Gold Mesh Bra and Panty Set with Garter Belt
Silver, ankle cuff, Belle, Short, Toned, Heart-Shaped Face, Olive Skin, Golden Blonde Hair, amethyst Eyes, Straight Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Blunt Bangs, perky breasts, Hoop earrings, orange, sheer lipstick, Black Mesh Bodysuit with Embroidered Flowers
Rhenium, flower brooch, Queen, Average Height, Slim, Diamond-Shaped Face, Dark Skin, Strawberry Blonde Hair, Amber Eyes, Long Nose, Full Lips, Round Chin, Long Hair, Fine Hair, Braided Crown, asymmetrical breasts, Huggie earrings, mauve, velvet lipstick, Purple Mesh Babydoll with Matching G-String
Silver, beaded bracelet, Baroness, Average Height, Fit, Diamond-Shaped Face, Dark Skin, Silver Hair, yellow Eyes, Wide Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Fishtail Braid, perky breasts, Threader earrings, green, metallic lipstick, Red Satin Babydoll
Indium, chain necklace, Sensation, Average Height, Athletic, Round Face, Tan Skin, Chestnut Hair, turquoise Eyes, Long Nose, Thin Lips, Receding Chin, Long Hair, Straight Hair, Bob with Bangs, round breasts, Dangle earrings, cream, satin lipstick, Purple Velvet Bra and Panty Set with Lace Trim
Iridium, anklet, Seductress, Average Height, Slim, Triangular Face, Dark Skin, Gray Hair, teal Eyes, Wide Nose, Pouty Lips, Sharp Chin, Long Hair, Thick Hair, Braided Crown, round breasts, Clip-on earrings, rose, sheer lipstick, Green Satin and Lace Garter Belt with Matching Thong
Germanium, choker, Countess, Tall, Wide Hips, Triangular Face, Olive Skin, Red Hair, dark brown Eyes, Long Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Bouncy Curls, natural breasts, Hoop earrings, magenta, satin lipstick, Navy Blue Satin Garter Belt with Suspenders 
Palladium, toggle bracelet, Woman, Average Height, Wide Hips, Oval Face, Tan Skin, Gray Hair, Sapphire Eyes, Narrow Nose, Pouty Lips, Round Chin, Long Hair, Coarse Hair, Waterfall Braid, saggy breasts, Faux gauge earrings, brown, stain lipstick, Plum Satin and Lace Bustier 
Cadmium, brooch, Countess, Tall, Thin, Diamond-Shaped Face, Tan Skin, Gray Hair, Brown Eyes, Wide Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Fine Hair, High Chignon, asymmetrical breasts, Threader earrings, pink, velvet lipstick, Red Satin Babydoll
Ruthenium, bracelet, Luminary, Average Height, Skinny, Diamond-Shaped Face, Fair Skin, Honey Blonde Hair, blue Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Layered Bob, small breasts, Huggie earrings, plum, cream lipstick, Blue Sheer Babydoll with Satin Trim
Radium, pendant, Duchess, Tall, Slim, Round Face, Dark Skin, Golden Blonde Hair, red Eyes, Long Nose, Thin Lips, Round Chin, Long Hair, Thick Hair, Waterfall Braid, natural breasts, Stud earrings, magenta, stain lipstick, Blue Strappy Bodysuit with Cutouts
Tantalum, toe ring, Countess, Short, Toned, Diamond-Shaped Face, Dark Skin, Honey Blonde Hair, pink Eyes, Narrow Nose, Pouty Lips, Receding Chin, Long Hair, Coarse Hair, Wavy Layered Bob, perky breasts, Drop earrings, gloss, metallic lipstick, Plum Satin and Lace Bustier 
Indium, torc necklace, Miss, Tall, Fit, Diamond-Shaped Face, Dark Skin, Golden Blonde Hair, Sapphire Eyes, Long Nose, Thick Lips, Prominent Chin, Long Hair, Curly Hair, Rope Braid, asymmetrical breasts, Stud earrings, brown, sheer lipstick, Blue Strappy Bodysuit with Cutouts
Germanium, multi-strand necklace, Visionary, Short, Slim, Round Face, Fair Skin, Dark Brown Hair, Blue Eyes with Green Flecks, Short Nose, Pouty Lips, Prominent Chin, Long Hair, Thick Hair, Bouncy Curls, asymmetrical breasts, Stud earrings, magenta, metallic lipstick, Black Leather Bralette and Panty Set
Indium, brooch pin, Phenom, Short, Thin, Triangular Face, Olive Skin, Red Hair, turquoise Eyes, Wide Nose, Thick Lips, Sharp Chin, Long Hair, Thick Hair, High Ponytail, firm breasts, Hoop earrings, cherry, sheer lipstick, Gold Strappy Bodysuit
Palladium, charm bracelet, Femme fatale, Average Height, Skinny, Square Face, Fair Skin, Strawberry Blonde Hair, Blue Eyes with Green Flecks, Wide Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Afro, small breasts, Dangle earrings, grape, stain lipstick, Orange Satin Slip
Radium, flower brooch, Dame, Short, Athletic, Diamond-Shaped Face, Olive Skin, Blonde Hair, black Eyes, Straight Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Ballerina Bun, firm breasts, Cuff earrings, berry, matte lipstick, Green Sequin Slip Dress with Thigh-High Slits
Cadmium, brooch, Empress, Tall, Narrow Hips, Round Face, Fair Skin, Light Brown Hair, coral Eyes, [[Curved Nose]], Thick Lips, Receding Chin, Long Hair, Thick Hair, Sleek Waves, soft breasts, Huggie earrings, lavender, velvet lipstick, Black Sheer Teddy with Floral Applique
Platinum, vintage brooch, Gal, Tall, Fit, Oval Face, Tan Skin, Strawberry Blonde Hair, green Eyes, Narrow Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Viking Braid, firm breasts, Drop earrings, terracotta, satin lipstick, White Satin and Lace Bra and Panty Set
Rhodium, bracelet, Heiress, Short, Skinny, Heart-Shaped Face, Olive Skin, Light Brown Hair, red Eyes, [[Curved Nose]], Full Lips, Prominent Chin, Long Hair, Coarse Hair, French Braid, round breasts, Drop earrings, violet, sheer lipstick, Red Lace Bra and Panty Set with Garter Belt
Platinum, tennis necklace, Queen, Tall, Lean, Triangular Face, Dark Skin, Blonde Hair, Sapphire Eyes, Narrow Nose, Full Lips, Prominent Chin, Long Hair, Fine Hair, Curly Afro, soft breasts, Drop earrings, cherry, satin lipstick, Purple Velvet Bra and Panty Set with Lace Trim
Gold, charm bracelet, Seductress, Average Height, Wide Hips, Round Face, Tan Skin, Brunette Hair, Green Eyes, Long Nose, Thick Lips, Round Chin, Long Hair, Curly Hair, Triple Braided Crown, firm breasts, Huggie earrings, burgundy, satin lipstick, Blue Satin and Lace Cami and Short Set
Osmium, beaded necklace, Madam, Short, Slim, Triangular Face, Fair Skin, White Hair, black Eyes, Narrow Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Straight Bob with Layers, perky breasts, Clip-on earrings, burgundy, velvet lipstick, Silver Silk Bra and Panty Set with Garter Belt
Indium, tennis bracelet, Goddess, Short, Slim, Square Face, Tan Skin, Red Hair, Gray Eyes, Short Nose, Full Lips, Round Chin, Long Hair, Curly Hair, Tousled Waves, augmented breasts, Hoop earrings, nude, gloss lipstick, Blue Satin and Lace Cami and Short Set
Gold, animal brooch, Songstress, Tall, Wide Hips, Square Face, Olive Skin, Blonde Hair, amber Eyes, Straight Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Fishtail Crown Braid, soft breasts, Stud earrings, soft pink, matte lipstick, Black Sheer Teddy with Floral Applique
Ruthenium, chain bracelet, Superwoman, Tall, Narrow Hips, Heart-Shaped Face, Tan Skin, Brunette Hair, Brown Eyes with Green Flecks, Narrow Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Long Wavy Hair, saggy breasts, Faux gauge earrings, golden, cream lipstick, Pink Lace Chemise with Ruffle Details
Rhenium, friendship bracelet, Superwoman, Tall, Fit, Oval Face, Fair Skin, Brunette Hair, grey-blue Eyes, Narrow Nose, Full Lips, Prominent Chin, Long Hair, Wavy Hair, Braided Updo, saggy breasts, Dangle earrings, nude, metallic lipstick, Black Sheer Teddy with Floral Applique
Radium, cuff bracelet, Starlet, Short, Thin, Square Face, Olive Skin, Brunette Hair, dark brown Eyes, [[Curved Nose]], Pouty Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Rope Braid, saggy breasts, Threader earrings, fuchsia, matte lipstick, Grey Faux Leather Corset 
Indium, multi-strand necklace, Female Viking, Average Height, Firm, Diamond-Shaped Face, Olive Skin, Auburn Hair, jade Eyes, Short Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Half Up Half Down, natural breasts, Faux gauge earrings, green, metallic lipstick, Red Lace Bra and Panty Set with Garter Belt
Platinum, chain bracelet, Lady, Short, Lean, Diamond-Shaped Face, Fair Skin, Brunette Hair, red Eyes, Wide Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Low Chignon, firm breasts, Threader earrings, golden, matte lipstick, Grey Faux Leather Corset 
Gallium, bib necklace, Goddess, Average Height, in shape, Triangular Face, Fair Skin, Silver Hair, pink Eyes, Long Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Middle Part Bangs, augmented breasts, Huggie earrings, green, gloss lipstick, Grey Faux Leather Corset 
Gallium, charm bracelet, Queen, Short, Slim, Oval Face, Dark Skin, Dark Brown Hair, Gray Eyes, [[Curved Nose]], Thick Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Bangs with Highlights, small breasts, Stud earrings, teal, metallic lipstick, Purple Mesh Babydoll with Matching G-String
Silver, cocktail brooch, Songstress, Average Height, Wide Hips, Square Face, Dark Skin, Blonde Hair, turquoise Eyes, Wide Nose, Full Lips, Receding Chin, Long Hair, Curly Hair, Waterfall Braid, soft breasts, Faux gauge earrings, magenta, cream lipstick, Navy Blue Satin Garter Belt with Suspenders 
Germanium, brooch pin, Duchess, Tall, Slim, Oval Face, Dark Skin, White Hair, peach Eyes, Straight Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Rope Braid, asymmetrical breasts, Cuff earrings, beige, satin lipstick, Turquoise Sheer Chemise with Cutouts
Cadmium, tennis bracelet, Baroness, Average Height, Thin, Oval Face, Tan Skin, Platinum Blonde Hair, coral Eyes, Wide Nose, Thick Lips, Prominent Chin, Long Hair, Coarse Hair, Sock Bun, small breasts, Drop earrings, burgundy, gloss lipstick, Red Satin Kimono with Lace Sleeve Detail
Silver, watch bracelet, Babe, Average Height, Skinny, Round Face, Tan Skin, Honey Blonde Hair, Gray Eyes, Wide Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Frohawk, saggy breasts, Drop earrings, cherry, velvet lipstick, Red Mesh Chemise with Strappy Back Detail
